None | click here for option A | click A | 0 | start
	None | test | click A | 0 | 
		None | test | click A | 0 | 
			None | test | click A | 0 | 
				None | test | click B | 0 | 
			None | test | click C | 0 |
	None | test | click A | 0 | 
		None | test | click A | 0 | 
			None | test | click A | 0 | 
				None | test | click B | 0 | 
			None | test | click C | 0 |
	None | test | click A | 0 | 
		None | test | click A | 0 | 
			None | test | click A | 0 | 
			None | test | click B | 0 | 
				None | test | click C | 0 | end
